1297033505	491022.73	63.44
1297037105	359924.30	42.04
1297040705	69208.48	16.48
1297044305	68619.20	16.23
1297047905	76655.48	19.24
1297051505	115111.94	25.87
1297055105	134509.22	27.93
1297058705	266952.64	54.36
1297062302	382721.62	113.67
1297065902	161030.98	37.08
1297067406	470997.07	120.88
1297071005	180127.60	51.25
1297074605	299673.58	66.69
1297078205	443649.39	84.21
1297081805	648566.89	115.31
1297085405	553671.41	149.85
1297089005	358741.92	106.92
1297093203	249197.59	48.24
1297096802	262775.79	56.75
1297100402	357201.69	74.71
1297104002	227975.76	44.95
1297107602	0.18	0.00
1297107602	257889.24	94.27
1297111202	265960.62	45.25
1297114802	339320.87	41.24
1297118402	60342.30	27.92
1297122003	105426.08	21.70
1297125603	2089.18	1.90
1297129202	818.57	0.94
1297132847	2600.98	2.61
1297136562	27567.07	16.60
1297140002	112158.63	37.46
1297143602	0.15	0.00
1297143602	55205.20	17.84
1297147203	204762.68	24.57
1297150802	329072.34	78.54
1297154402	427754.62	88.19
1297158002	395416.70	83.38
1297161602	391610.23	73.19
1297165202	195648.90	36.66
1297168802	305243.95	71.18
1297172402	269439.30	71.89
1297176002	0.30	0.00
1297176002	259144.48	64.66
1297179602	225014.47	70.18
1297183202	397178.35	82.12
1297186802	3.33	0.00
1297186802	215049.14	38.86
1297190403	5562.67	3.78
1297194004	316.12	0.36
1297195529	11.67	0.03
1297199114	1645.49	1.39
1297202703	51942.91	36.66
1297206302	26800.53	12.95
1297208403	558686.87	76.16
1297212002	169008.36	37.52
1297215602	76754.12	27.86
1297219202	81599.35	27.20
1297222802	3.25	0.00
1297222802	102507.20	29.04
1297226402	236520.16	61.45
1297230002	171942.10	36.86
1297233602	336080.55	83.55
1297237202	311050.02	75.03
1297240802	240669.68	57.02
1297243509	508269.99	134.44
1297247109	603117.86	113.59
1297250709	405024.86	92.90
1297254309	422999.95	99.14
1297257909	562654.99	126.51
1297261509	0.10	0.00
1297261509	466177.76	129.49
1297265109	288981.32	94.14
1297268709	265761.55	65.46
1297272309	307050.66	71.06
1297275909	344169.02	79.31
1297279509	366677.78	96.21
1297283109	0.19	0.00
1297283109	499106.64	90.19
1297286709	0.10	0.00
1297286709	727721.44	85.42
1297290309	572227.69	87.78
1297293909	276786.86	62.68
1297297509	38991.74	39.52
1297301110	29896.00	34.74
1297304709	28835.98	32.17
1297308310	65268.25	36.07
1297311909	350190.01	53.28
1297315509	189326.20	52.99
1297319109	527624.19	100.15
1297322709	704876.34	165.88
1297326309	735566.79	149.22
1297329909	647997.95	160.85
1297333509	724918.07	156.99
1297337109	473961.47	148.75
1297340709	561945.78	134.16
1297344309	696904.89	159.50
1297347909	730181.08	217.02
1297351509	782256.39	138.65
1297355109	3.54	0.00
1297355109	565130.85	119.78
1297358709	676704.67	110.50
1297362309	3.26	0.00
1297362309	555270.24	81.03
1297365909	565309.72	76.55
1297369509	533356.82	70.37
1297373109	540622.73	86.09
1297376709	271910.24	63.44
1297380310	130448.51	49.00
1297383909	68185.54	42.43
1297387510	58547.18	44.53
1297391109	37126.18	41.10
1297394709	54080.48	48.98
1297398309	182652.92	60.60
1297401909	273144.96	55.40
1297405509	350311.56	72.85
1297409109	356548.34	85.63
1297412709	0.10	0.00
1297412709	336800.87	77.42
1297416309	568716.26	146.36
1297419909	764621.59	133.95
1297423509	685645.49	109.89
1297427109	549701.00	126.17
1297430709	541378.77	147.36
1297434309	0.26	0.00
1297434309	413740.04	156.28
1297437909	528938.59	88.20
1297441509	0.10	0.00
1297441509	91121.67	34.67
1297445109	146677.55	28.24
1297448709	242628.03	41.55
1297452309	3.33	0.00
1297452309	180500.07	48.65
1297455909	538870.26	100.08
1297459509	320010.51	83.44
1297463109	322301.74	64.81
1297466709	494840.01	76.53
1297470309	365903.80	64.98
1297473909	0.10	0.00
1297473909	74760.00	40.71
1297477509	0.29	0.00
1297477509	33017.62	32.60
1297481109	37949.19	34.01
1297484709	76180.63	44.08
1297488309	153901.55	38.82
1297491909	310583.14	44.67
1297495509	585500.13	81.59
1297499109	3.28	0.00
1297499109	252755.64	38.83
1297502709	0.82	0.00
1297502709	391199.86	55.07
1297506309	355599.51	84.02
1297509909	487770.51	79.92
1297513509	111458.68	15.61
1297517109	83713.29	15.23
1297520709	95101.46	20.67
1297524309	111059.89	21.62
1297527909	215035.66	37.69
1297531509	176546.02	24.68
1297535109	236809.83	28.33
1297538710	173358.12	36.39
1297542309	422532.76	63.83
1297545909	520346.66	83.52
1297549509	650820.08	98.97
1297553109	101750.73	49.91
1297556709	45129.54	47.87
1297560309	70587.07	46.41
1297563909	88599.41	47.32
1297567509	146387.38	52.67
1297571109	124709.40	53.52
1297574709	128208.04	53.79
1297578309	0.12	0.00
1297578309	241442.19	78.91
1297581909	3.44	0.00
1297581909	396598.39	96.43
1297585509	194132.95	52.92
1297589109	3.44	0.00
1297589109	437223.92	69.69
1297592709	3.33	0.00
1297592709	190220.80	52.26
1297596309	260311.16	51.27
1297599909	156784.63	34.64
1297603509	214397.05	52.89
1297607109	0.19	0.00
1297607109	90892.38	32.44
1297610709	105592.60	51.15
1297614309	310418.10	67.37
1297617909	397021.60	72.50
1297621509	201161.29	60.73
1297625109	471745.78	82.60
1297628709	397202.84	67.07
1297632309	0.10	0.00
1297632309	405550.29	69.20
1297635909	52521.39	19.28
