1 uncategorised-UDP-ports 5.39%
2 uncategorised-TCP-ports 1.9%
3 microsoft-ds 0.06%
4 gnutella-svc 0.09%
5 urd 0.11%
6 pop3s 0.45%
7 http-alt 0.65%
8 imaps 4.99%
9 https 6.79%
10 http 79.28%
